price,livingArea,bedrooms,bathrooms,yearBuilt,dateSold,numPhoto,elevation,parcel,numDwellings,monthlySales,seasonal,usSA,pacSA,hiSA,combined,rating,mf,r5,r7,r10,a1,a2,mfArea
335000,523,1,1,1984,398,0,22,65319.815,4,1,0.538005172,270.91,314.1,247.62,47.5,5,1,0,0,0,0,0,523
565000,960,2,2,1970,484,0,69,57411.80034,109.0824207,1,0.888057323,274.39,318.85,250.29,47.5,5,1,0,0,0,0,1,960
910000,1348,2,2,1967,525,0,162,400111,4,1,0.377707965,274.65,319.1,250.29,74,9,0,1,0,0,0,0,0
1350000,2984,5,4,2007,553,12,82,6701.04868,4,1,-0.09453675,276.62,320.19,250.29,74,9,0,1,0,0,0,0,0
738000,1675,3,2,1981,568,0,54,23364.87615,65.42165322,1,-0.345612313,278.09,322.48,250.82,74,7,1,0,0,0,0,0,1675
305000,410,0,1,1995,596,0,13,23364.87615,44.39326469,2,-0.741222011,278.97,323.95,250.82,74,9,1,0,0,0,0,1,410
280000,370,0,1,1995,610,0,13,23364.87615,44.39326469,2,-0.880012204,278.97,323.95,250.82,74,9,1,0,0,0,0,1,370
596000,958,2,2,1981,629,0,31,1800666.546,2,2,-0.98594815,281.36,325.71,250.82,65,7,1,0,1,0,0,0,958
930000,1118,4,2,1999,629,0,36,7888.452026,4,2,-0.98594815,281.36,325.71,250.82,74,7,0,1,0,0,0,0,0
360000,604,2,1,1965,767,0,74,3429.589442,6.516219941,2,0.594726687,286.79,333.19,251.91,47.5,5,1,0,0,0,0,1,604
500000,700,1,1,1924,742,7,22,25108.8815,4,2,0.2051045,286.79,333.19,251.91,47.5,5,1,0,0,0,0,0,700
210000,382,0,1,1958,967,0,65,15574.27557,29.59112357,3,-0.806479946,309.96,362.44,252.15,47.5,5,1,0,0,0,0,1,382
800000,1727,4,2.5,1959,967,4,42,8540.088,4,3,-0.806479946,309.96,362.44,252.15,74,9,0,0,0,0,0,0,0
605000,959,2,2,1981,964,4,31,1800666.546,2,3,-0.774884041,309.96,362.44,252.15,65,7,1,0,0,0,0,0,959
1200000,2639,4,3,1961,1021,0,62,6826.837763,4,1,-0.956234827,316.7,370.78,252.15,74,9,0,1,0,0,0,0,0
